iter	Logloss
0	0.5555606207
1	0.4632678691
2	0.3936457394
3	0.3274570318
4	0.2781268378
5	0.2384977233
6	0.2118427412
7	0.1936876064
8	0.1796413585
9	0.1706314267
10	0.1632295561
11	0.157153176
12	0.1533063421
13	0.1492456284
14	0.1456220363
15	0.1427226804
16	0.1404239678
17	0.1383072314
18	0.1369391362
19	0.135042559
20	0.1339461064
21	0.1330943881
22	0.1324647708
23	0.1313290861
24	0.1300127739
25	0.1290998662
26	0.1280595978
27	0.1273814391
28	0.1266660391
29	0.1260482653
30	0.1254836819
31	0.1249946675
32	0.1246083872
33	0.1241334658
34	0.1237543786
35	0.1234604508
36	0.1231355223
37	0.1227894942
38	0.1224608742
39	0.1223039134
40	0.1221059148
41	0.1219538017
42	0.1217518794
43	0.1215272494
44	0.1212629046
45	0.1210350113
46	0.1208564206
47	0.1206062303
48	0.1204347592
49	0.120238517
50	0.1200554496
51	0.1198101266
52	0.1196853259
53	0.1195428536
54	0.1193899644
55	0.1192087334
56	0.1190795829
57	0.1188977722
58	0.1187607307
59	0.1186373221
60	0.1185760236
61	0.1183780169
62	0.1181589741
63	0.1180394549
64	0.1179457759
65	0.117868279
66	0.1177003867
67	0.1176200621
68	0.1175534762
69	0.1174375421
70	0.1173359546
71	0.1172504585
72	0.1171483691
73	0.1169979144
74	0.1169316018
75	0.1168876433
76	0.1168162164
77	0.1167204974
78	0.1166233382
79	0.1165224054
80	0.1164211674
81	0.1163303165
82	0.1162490996
83	0.1161655912
84	0.1160443449
85	0.1159475638
86	0.1158586207
87	0.1157688382
88	0.1157314679
89	0.1156474601
90	0.1155712645
91	0.1154879346
92	0.1154707949
93	0.1154373959
94	0.1153443869
95	0.1152711233
96	0.1152223315
97	0.1151590659
98	0.1151084
99	0.1150827335
100	0.1150430697
101	0.1149799523
102	0.114886866
103	0.1148293328
104	0.1147815984
105	0.1147345337
106	0.1146789004
107	0.1145162391
108	0.1143733306
109	0.1142419231
110	0.1142110113
111	0.1141592948
112	0.1139733253
113	0.1138931946
114	0.113811204
115	0.1137382422
116	0.1136766894
117	0.1136197942
118	0.1135378451
119	0.1134598249
120	0.113368395
121	0.1133130251
122	0.1132618082
123	0.1132180876
124	0.1131373924
125	0.1130723396
126	0.1130426548
