iter	Passed	Remaining
0	239	287697
1	492	295176
2	765	305420
3	1019	304888
4	1282	306569
5	1539	306449
6	1801	307101
7	2074	309036
8	2350	311103
9	2613	311060
10	2894	312877
11	3174	314293
12	3429	313102
13	3695	313054
14	3962	313004
15	4226	312788
16	4495	312812
17	4786	314305
18	5044	313542
19	5322	314052
20	5604	314644
21	5866	314136
22	6116	313001
23	6379	312580
24	6632	311722
25	6895	311377
26	7154	310831
27	7427	310901
28	7690	310552
29	7947	309968
30	8203	309349
31	8488	309813
32	8752	309529
33	9013	309104
34	9280	308906
35	9543	308567
36	9801	308084
37	10066	307833
38	10325	307383
39	10578	306783
40	10857	306918
41	11119	306575
42	11383	306286
43	11630	305568
44	11897	305358
45	12179	305556
46	12449	305397
47	12704	304902
48	12970	304668
49	13236	304449
50	13492	303986
51	13743	303408
52	14007	303138
53	14258	302596
54	14512	302133
55	14772	301785
56	15038	301571
57	15307	301407
58	15568	301076
59	15833	300838
60	16091	300471
61	16377	300598
62	16634	300212
63	16878	299586
64	17160	299642
65	17427	299435
66	17696	299248
67	17957	298945
68	18215	298579
69	18476	298258
70	18733	297896
71	18989	297495
72	19254	297264
73	19517	296974
74	19779	296690
75	20090	297133
76	20365	297024
77	20629	296744
78	20927	296958
79	21244	297421
80	21628	298787
81	21973	299595
82	22246	299388
83	22502	298965
84	22768	298673
85	23043	298493
86	23304	298134
87	23566	297800
88	23827	297447
89	24093	297159
90	24361	296885
91	24628	296614
92	24892	296302
93	25166	296103
94	25439	295900
95	25714	295719
96	25984	295473
97	26243	295109
98	26515	294885
99	26779	294571
100	27049	294326
101	27316	294054
102	27582	293769
103	27830	293292
104	28099	293035
105	28358	292684
106	28626	292415
107	28893	292141
108	29167	291945
109	29427	291597
110	29699	291373
111	29956	291009
112	30219	290698
113	30486	290425
114	30749	290112
115	31012	289810
116	31281	289552
117	31553	289332
118	31821	289063
119	32094	288847
120	32359	288557
121	32630	288325
122	32884	287943
123	33143	287602
124	33416	287383
125	33682	287103
126	33962	286945
127	34218	286577
128	34495	286395
129	34758	286088
130	35013	285723
131	35278	285435
132	35564	285315
133	35841	285123
134	36085	284677
135	36335	284273
136	36612	284080
137	36897	283949
138	37183	283828
139	37458	283614
140	37736	283427
141	38007	283183
142	38275	282920
143	38547	282680
144	38817	282434
145	39098	282258
146	39372	282033
147	39631	281701
148	39883	281322
149	40159	281116
150	40434	280896
151	40704	280646
152	40967	280346
153	41233	280063
154	41495	279759
155	41765	279508
156	42026	279191
157	42305	279003
158	42569	278706
159	42845	278495
160	43102	278160
161	43363	277845
162	43627	277558
163	43889	277250
164	44157	276988
165	44418	276677
166	44681	276380
167	44949	276118
168	45216	275846
169	45476	275531
170	45741	275252
171	46029	275107
172	46292	274812
173	46557	274528
174	46820	274233
175	47066	273840
176	47327	273536
177	47594	273267
178	47854	272960
179	48135	272769
180	48395	272457
181	48661	272182
182	48938	271972
183	49203	271688
184	49471	271426
185	49737	271151
186	50007	270894
187	50253	270514
188	50500	270138
189	50769	269881
190	51040	269631
191	51312	269390
192	51583	269140
193	51864	268947
194	52125	268648
195	52388	268356
196	52660	268114
197	52927	267843
198	53189	267551
199	53457	267287
200	53721	267004
201	54003	266811
202	54275	266565
203	54534	266254
204	54801	265988
205	55063	265693
206	55324	265398
207	55626	265294
208	55888	265003
209	56149	264705
210	56412	264414
211	56686	264179
212	56954	263916
213	57222	263652
214	57495	263409
215	57750	263084
216	58013	262797
217	58274	262504
218	58532	262195
219	58805	261950
220	59078	261710
221	59353	261476
222	59631	261255
223	59899	260989
224	60169	260733
225	60432	260447
226	60705	260204
227	60998	260044
228	61280	259841
229	61547	259571
230	61808	259273
231	62105	259128
232	62369	258845
233	62634	258568
234	62898	258286
235	63182	258084
236	63447	257807
237	63726	257584
238	63998	257332
239	64296	257184
240	64555	256884
241	64896	256904
242	65159	256614
243	65421	256325
244	65678	256012
245	65952	255765
246	66213	255471
247	66478	255191
248	66733	254871
249	67016	254664
250	67275	254361
251	67570	254195
252	67837	253920
253	68098	253625
254	68379	253405
255	68643	253123
256	68909	252848
257	69173	252563
258	69438	252283
259	69707	252019
260	69974	251748
261	70240	251473
262	70504	251188
263	70785	250966
264	71050	250687
265	71313	250401
266	71568	250087
267	71834	249812
268	72097	249526
269	72360	249243
270	72646	249036
271	72909	248751
272	73171	248461
273	73430	248163
274	73682	247840
275	73943	247551
276	74209	247275
277	74471	246988
278	74732	246697
279	74995	246414
280	75257	246127
281	75523	245852
282	75784	245563
283	76047	245279
284	76307	244987
285	76571	244706
286	76854	244487
287	77121	244217
288	77384	243936
289	77649	243660
290	77911	243374
291	78195	243155
292	78471	242913
293	78746	242667
294	79012	242393
295	79282	242132
296	79552	241871
297	79815	241589
298	80089	241340
299	80374	241122
300	80681	240970
301	81018	240908
302	81339	240797
303	81631	240598
304	81963	240515
305	82237	240261
306	82498	239971
307	82750	239653
